datetime,IF2012,IF2009,spread,volume,avg3
2020/6/23 10:14,3975.8,4009.4,-33.6,60,-36.4
2020/6/23 10:15,3976,4008.8,-32.8,41,-36.4
2020/6/23 10:16,3976.6,4009.2,-32.6,31,-36.4
2020/6/23 10:17,3977.4,4009.2,-31.8,39,-36.4
2020/6/23 10:18,3973.2,4005.8,-32.6,40,-36.4
2020/6/23 10:19,3974.8,4006.8,-32,14,-36.4
2020/6/23 10:20,3975.4,4008.6,-33.2,31,-36.4
2020/6/23 10:21,3973.6,4007.2,-33.6,28,-36.2
2020/6/23 10:22,3977,4008.8,-31.8,36,-36.2
2020/6/23 10:23,3979.6,4012.8,-33.2,87,-36.2
2020/6/23 10:24,3983.8,4015,-31.2,78,-36.2
2020/6/23 10:25,3984.6,4015.8,-31.2,60,-36.2
2020/6/23 10:26,3983.4,4016.4,-33,50,-36.2
2020/6/23 10:27,3983.4,4016.8,-33.4,86,-36.2
2020/6/23 10:28,3987.6,4020,-32.4,146,-36.2
2020/6/23 10:29,3988.6,4021.2,-32.6,95,-36
2020/6/23 10:30,3990.6,4022,-31.4,61,-36
2020/6/23 10:31,3989.8,4022.8,-33,96,-36
2020/6/23 10:32,3994.8,4027,-32.2,85,-36
2020/6/23 10:33,3992.4,4024,-31.6,86,-36
2020/6/22 14:55,3996,4022.8,-26.8,67,-38
2020/6/22 14:56,3993.2,4018.8,-25.6,103,-38
2020/6/22 14:57,3993.2,4019.2,-26,61,-38
2020/6/22 14:58,3992.4,4018,-25.6,58,-38
2020/6/22 14:59,3992,4017.6,-25.6,67,-37.8
2020/6/22 15:00,3991.6,4020.2,-28.6,91,-37.8
2020/6/23 9:29,3972.2,4005.8,-33.6,36,-37.8
2020/6/23 9:31,3966.8,3998.4,-31.6,450,-37.8
2020/6/23 9:32,3980,4011.6,-31.6,222,-37.8
2020/6/23 9:33,3980,4010.4,-30.4,163,-37.6
2020/6/23 9:34,3982.2,4013.2,-31,174,-37.6
2020/6/23 9:35,3982,4011,-29,103,-37.6
2020/6/23 9:36,3981.4,4009.8,-28.4,112,-37.6
2020/6/23 9:37,3983,4014.4,-31.4,137,-37.6
2020/6/23 9:38,3981.4,4012.8,-31.4,121,-37.6
2020/6/23 9:39,3978.4,4009.2,-30.8,88,-37.4
